Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Hermphrodite,96h-104h,0,0,1,
Hermphrodite,96h-104h,0,0,0,
Hermphrodite,96h-104h,0,0,0,
Hermphrodite,96h-104h,0,0,13,
Hermphrodite,96h-104h,0,0,0,
Hermphrodite,96h-104h,0,0,17,
Hermphrodite,96h-104h,0,1,5,
Hermphrodite,96h-104h,0,6,23,
Hermphrodite,96h-104h,0,0,12,
Hermphrodite,96h-104h,0,1,1,
Hermphrodite,96h-104h,0,3,31,
Hermphrodite,96h-104h,1,1,2,
Hermphrodite,96h-104h,0,0,0,
Hermphrodite,96h-104h,0,4,0,
Hermphrodite,96h-104h,0,0,0,
Hermphrodite,96h-104h,0,0,5,
Hermphrodite,96h-104h,0,0,0,
Hermphrodite,96h-104h,0,4,4,
Hermphrodite,96h-104h,0,0,1,
Hermphrodite,96h-104h,0,1,1,
Hermphrodite,104h-112h,0,0,1,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,2,9,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,1,4,
Hermphrodite,104h-112h,1,0,0,
Hermphrodite,104h-112h,0,0,20,
Hermphrodite,104h-112h,0,0,2,
Hermphrodite,104h-112h,0,1,1,
Hermphrodite,104h-112h,0,0,16,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,1,2,0,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,2,2,
Hermphrodite,104h-112h,0,0,0,
Hermphrodite,104h-112h,0,0,3,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,5,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,1,
Hermphrodite,112h-120h,0,1,0,
Hermphrodite,112h-120h,0,0,3,
Hermphrodite,112h-120h,0,0,6,
Hermphrodite,112h-120h,0,0,1,
Hermphrodite,112h-120h,0,0,12,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,2,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,0,
Hermphrodite,112h-120h,0,0,2,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,7,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,3,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,0,
Hermphrodite,120h-128h,0,0,2,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,3,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,128h-136h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,3,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,136h-144h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
Hermphrodite,144h-152h,0,0,0,
